0.38100,-0.0516,-0.0044,0.0418,0.1170,-0.1974,0.9567

0.38700,0.0032,0.0024,0.0342,0.1065,-0.2011,0.9452

0.39200,0.0161,0.0079,0.0104,0.1134,-0.2143,0.9523

0.39800,0.0560,0.0185,0.0221,0.1004,-0.1898,0.9430

0.40400,0.0133,0.0025,0.0177,0.0875,-0.1876,0.9660

0.41000,-0.0903,0.0036,0.0135,0.0975,-0.1998,0.9802

0.41500,-0.1003,-0.0107,0.0080,0.0767,-0.2033,0.9694

0.42100,-0.0578,0.0073,0.0051,0.1026,-0.2057,0.9516

0.42700,0.0004,0.0056,-0.0016,0.0887,-0.2025,0.9438

0.43200,0.0366,0.0165,-0.0099,0.0948,-0.1969,0.9518

0.43800,0.0352,0.0177,-0.0100,0.0985,-0.1984,0.9631

0.44400,0.0085,0.0117,-0.0096,0.0931,-0.1857,0.9606

0.44900,-0.0147,0.0061,-0.0159,0.0975,-0.1910,0.9762

0.45500,-0.0117,0.0081,-0.0153,0.1073,-0.1947,0.9574

0.46100,0.0109,0.0087,-0.0208,0.1026,-0.1935,0.9516

0.46700,0.0337,0.0087,-0.0220,0.0994,-0.1998,0.9584

0.47200,0.0326,0.0096,-0.0237,0.0965,-0.1930,0.9657

0.47800,0.0152,0.0033,-0.0216,0.1024,-0.1984,0.9667

0.48400,-0.0226,0.0108,-0.0685,0.0244,-0.2411,0.9631

0.48900,0.0172,0.0203,-0.0626,0.1080,-0.1947,0.9574

0.49500,0.0489,0.0222,-0.0477,0.1246,-0.1903,0.9530

0.50100,0.0386,0.0284,-0.0350,0.1158,-0.1930,0.9631

0.50600,-0.0025,0.0139,-0.0236,0.1099,-0.1910,0.9565

0.51200,-0.0309,0.0117,-0.0197,0.1070,-0.1969,0.9660

0.51800,-0.0257,0.0168,-0.0125,0.1075,-0.1884,0.9655

0.52400,-0.0044,0.0156,-0.0140,0.1063,-0.1964,0.9582

0.52900,0.0043,0.0192,-0.0151,0.1011,-0.2042,0.9565

0.53500,0.0009,0.0177,-0.0117,0.0982,-0.1964,0.9547

0.54100,-0.0011,0.0183,-0.0140,0.0997,-0.1989,0.9606

0.54600,0.0043,0.0181,-0.0121,0.1046,-0.2003,0.9665

0.55200,0.0128,0.0173,-0.0151,0.1063,-0.2011,0.9562

0.55800,0.0205,0.0246,-0.0108,0.1004,-0.1991,0.9572

0.56300,0.0200,0.0284,-0.0136,0.1053,-0.1937,0.9626

0.56900,0.0302,0.0268,-0.0116,0.1735,-0.1837,0.9526

0.57500,0.0115,0.0218,-0.0238,0.1053,-0.1998,0.9635

0.58000,0.0080,0.0159,-0.0277,0.0909,-0.1950,0.9623

0.58600,0.0109,0.0189,-0.0310,0.0992,-0.2006,0.9711

0.59200,0.0298,0.0207,-0.0313,0.0999,-0.1957,0.9565

0.59800,0.0508,0.0273,-0.0433,0.0982,-0.1981,0.9665

0.60300,0.0534,0.0297,-0.0618,0.0948,-0.2047,0.9699

0.60900,0.0373,0.0007,-0.0594,0.1126,-0.1764,0.9736

0.61500,-0.0241,-0.0092,-0.0659,0.0994,-0.1869,0.9692

0.62000,-0.0707,0.0099,-0.0738,0.0982,-0.1984,0.9687

0.62600,-0.0049,0.0234,-0.0642,0.0904,-0.1976,0.9484

0.63200,0.0663,0.0341,-0.0629,0.0892,-0.1986,0.9474

0.63700,0.0791,0.0324,-0.0699,0.0882,-0.1986,0.9591

0.64300,0.0358,0.0309,-0.0506,0.1212,-0.1867,0.9665

0.64900,0.0060,0.0177,-0.0556,0.1148,-0.1837,0.9806

0.65500,-0.0056,0.0212,-0.0424,0.1207,-0.1881,0.9721

0.66000,0.0057,0.0253,-0.0385,0.1075,-0.2020,0.9660

0.66600,0.0133,0.0181,-0.0489,0.1080,-0.1969,0.9621

0.67200,0.0205,0.0144,-0.0500,0.1124,-0.1967,0.9621

0.67700,0.0655,0.0205,-0.0408,0.1070,-0.1984,0.9626

0.68300,0.0770,0.0282,-0.0358,0.1131,-0.1950,0.9631

0.68900,0.0345,0.0188,-0.0264,0.1163,-0.2011,0.9628

0.69400,-0.0160,0.0124,-0.0179,0.1112,-0.1903,0.9721

0.70000,-0.0334,0.0143,-0.0159,0.0972,-0.1920,0.9648

0.70600,-0.0125,0.0153,-0.0144,0.0970,-0.1962,0.9591

0.71200,0.0258,0.0298,-0.0144,0.0980,-0.1947,0.9540

0.71700,0.1114,0.0148,0.0027,0.1165,-0.1940,0.9291

0.72300,0.0574,0.0192,-0.0056,0.0943,-0.1950,0.9611

0.72900,-0.0200,0.0124,-0.0055,0.0923,-0.2084,0.9755

0.73400,-0.0290,0.0096,-0.0081,0.1234,-0.1859,0.9697

0.74000,-0.0048,0.0088,-0.0171,0.1092,-0.1896,0.9577

0.74600,0.0449,0.0172,-0.0386,0.1073,-0.1935,0.9540

0.75100,0.1108,0.0333,-0.0570,0.1112,-0.1896,0.9523

0.75700,0.1343,0.0480,-0.0474,0.1046,-0.1891,0.9555

0.76300,0.0839,0.0438,-0.0147,0.0967,-0.1891,0.9767

0.76900,-0.0012,0.0147,-0.0019,0.1043,-0.1842,0.9885

0.77400,-0.0695,-0.0188,0.0183,0.1016,-0.1805,0.9574

